tileid,rundate
422,"2021-04-20 19:01:46+00:00"
423,"2021-04-22 18:55:39+00:00"
424,"2021-04-29 20:27:33+00:00"
425,"2021-05-01 20:31:51+00:00"
426,"2021-05-08 21:24:25+00:00"
427,"2021-05-29 23:32:41+00:00"
428,"2021-04-06 00:42:41+00:00"
429,"2021-04-12 22:53:58+00:00"
430,"2021-05-01 20:31:51+00:00"
433,"2021-04-20 00:30:45+00:00"
434,"2021-04-20 19:01:46+00:00"
436,"2021-04-20 00:30:45+00:00"
437,"2021-04-20 19:01:46+00:00"
438,"2021-04-22 18:55:39+00:00"
439,"2021-04-20 00:30:45+00:00"
440,"2021-04-20 19:01:46+00:00"
441,"2021-04-22 18:55:39+00:00"
442,"2021-05-06 21:45:36+00:00"
443,"2021-05-29 23:32:41+00:00"
445,"2021-05-14 02:50:50+00:00"
446,"2021-05-29 23:32:41+00:00"
448,"2021-05-14 02:50:50+00:00"
449,"2021-05-29 23:32:41+00:00"
451,"2021-05-06 21:45:37+00:00"
452,"2021-05-11 00:57:51+00:00"
453,"2021-05-29 23:32:41+00:00"
454,"2021-05-05 19:51:03+00:00"
457,"2021-05-05 19:51:03+00:00"
458,"2021-05-29 23:32:41+00:00"
460,"2021-05-10 19:19:17+00:00"
461,"2021-05-29 23:32:41+00:00"
463,"2021-05-07 19:16:32+00:00"
464,"2021-05-29 23:32:41+00:00"
466,"2021-05-14 02:50:50+00:00"
467,"2021-05-29 23:32:41+00:00"
469,"2021-05-06 21:45:37+00:00"
470,"2021-05-29 23:32:41+00:00"
472,"2021-05-04 20:33:01+00:00"
473,"2021-05-29 23:32:41+00:00"
475,"2021-05-04 20:33:01+00:00"
476,"2021-05-29 23:32:41+00:00"
478,"2021-05-02 21:09:30+00:00"
479,"2021-05-29 23:32:41+00:00"
481,"2021-05-02 21:09:30+00:00"
482,"2021-05-03 20:56:22+00:00"
483,"2021-05-04 20:33:01+00:00"
484,"2021-05-05 19:09:44+00:00"
485,"2021-05-06 21:45:37+00:00"
486,"2021-05-07 19:16:32+00:00"
487,"2021-05-08 19:24:59+00:00"
488,"2021-05-09 19:46:50+00:00"
489,"2021-05-11 22:21:48+00:00"
490,"2021-05-12 20:24:43+00:00"
491,"2021-05-14 02:50:50+00:00"
492,"2021-05-14 19:33:58+00:00"
495,"2021-05-02 21:09:30+00:00"
496,"2021-05-05 19:09:44+00:00"
497,"2021-05-07 19:16:32+00:00"
498,"2021-05-08 19:24:59+00:00"
499,"2021-05-09 19:46:50+00:00"
500,"2021-05-10 19:19:17+00:00"
501,"2021-05-11 22:21:48+00:00"
502,"2021-05-12 20:24:43+00:00"
503,"2021-05-14 02:50:50+00:00"
504,"2021-05-14 19:33:58+00:00"
506,"2021-05-02 21:09:30+00:00"
511,"2021-05-02 21:09:30+00:00"
512,"2021-05-03 20:56:22+00:00"
513,"2021-05-04 20:33:01+00:00"
514,"2021-05-06 21:45:36+00:00"
515,"2021-05-07 19:16:32+00:00"
516,"2021-05-09 19:46:50+00:00"
517,"2021-05-12 20:24:43+00:00"
518,"2021-05-14 02:50:50+00:00"
519,"2021-05-14 19:33:58+00:00"
520,"2021-05-18 22:07:21+00:00"
521,"2021-05-21 19:13:29+00:00"
525,"2021-05-02 21:09:30+00:00"
526,"2021-05-03 20:56:22+00:00"
527,"2021-05-04 20:33:01+00:00"
528,"2021-05-06 21:45:36+00:00"
529,"2021-05-07 19:16:32+00:00"
530,"2021-05-08 19:24:59+00:00"
531,"2021-05-09 19:46:50+00:00"
532,"2021-05-11 22:21:48+00:00"
533,"2021-05-14 02:50:50+00:00"
534,"2021-05-14 19:33:58+00:00"
535,"2021-05-29 23:32:41+00:00"
536,"2021-05-02 21:09:30+00:00"
541,"2021-05-04 02:18:21+00:00"
542,"2021-05-04 20:33:01+00:00"
543,"2021-05-05 19:09:44+00:00"
544,"2021-05-08 19:24:59+00:00"
545,"2021-05-10 19:19:17+00:00"
546,"2021-05-11 22:21:48+00:00"
547,"2021-05-12 20:24:43+00:00"
548,"2021-05-14 02:50:50+00:00"
549,"2021-05-14 19:33:58+00:00"
550,"2021-05-18 22:07:21+00:00"
551,"2021-05-21 19:13:29+00:00"
552,"2021-05-29 23:35:29+00:00"
555,"2021-05-04 02:18:21+00:00"
556,"2021-05-04 20:33:01+00:00"
557,"2021-05-06 21:45:37+00:00"
558,"2021-05-07 19:16:32+00:00"
559,"2021-05-08 19:24:59+00:00"
560,"2021-05-09 19:46:50+00:00"
561,"2021-05-10 19:19:17+00:00"
562,"2021-05-11 22:21:48+00:00"
563,"2021-05-12 20:24:43+00:00"
564,"2021-05-14 02:50:50+00:00"
565,"2021-05-29 23:35:29+00:00"
566,"2021-05-04 02:18:21+00:00"
571,"2021-05-02 21:09:30+00:00"
572,"2021-05-04 20:33:01+00:00"
573,"2021-05-05 19:09:44+00:00"
574,"2021-05-06 21:45:37+00:00"
575,"2021-05-07 19:16:32+00:00"
576,"2021-05-08 19:24:59+00:00"
577,"2021-05-09 19:46:50+00:00"
578,"2021-05-10 19:19:17+00:00"
579,"2021-05-11 22:21:48+00:00"
580,"2021-05-12 20:24:43+00:00"
581,"2021-05-14 02:50:50+00:00"
582,"2021-05-14 19:33:58+00:00"
585,"2021-05-02 21:09:30+00:00"
586,"2021-05-03 20:56:22+00:00"
587,"2021-05-04 20:33:01+00:00"
588,"2021-05-05 19:09:44+00:00"
589,"2021-05-06 21:45:37+00:00"
590,"2021-05-07 19:16:32+00:00"
591,"2021-05-08 19:24:59+00:00"
592,"2021-05-10 19:19:17+00:00"
593,"2021-05-11 22:21:48+00:00"
594,"2021-05-12 20:24:43+00:00"
595,"2021-05-29 23:35:29+00:00"
596,"2021-05-02 21:09:30+00:00"
1000,"2021-05-14 23:48:14+00:00"
1001,"2021-05-30 15:33:09+00:00"
1002,"2023-10-22 17:01:06+00:00"
1005,"2022-02-26 17:00:42+00:00"
1006,"2021-10-03 20:00:37+00:00"
1007,"2021-05-15 05:49:18+00:00"
1008,"2022-01-26 17:00:38+00:00"
1009,"2024-01-17 17:01:04+00:00"
1010,"2021-06-28 20:42:58+00:00"
1030,"2021-05-30 15:33:05+00:00"
1076,"2024-08-27 17:00:50+00:00"
1077,"2024-08-13 17:00:53+00:00"
1078,"2021-05-30 15:33:08+00:00"
1080,"2021-05-18 21:51:27+00:00"
1081,"2021-05-14 23:48:14+00:00"
1082,"2021-05-30 15:33:10+00:00"
1083,"2021-05-30 15:33:06+00:00"
1084,"2021-05-30 15:33:09+00:00"
1085,"2021-05-30 15:33:15+00:00"
1086,"2021-05-30 15:33:05+00:00"
1087,"2021-05-30 15:33:13+00:00"
1088,"2021-05-30 15:33:07+00:00"
1089,"2021-05-30 15:33:07+00:00"
1090,"2021-05-14 23:48:14+00:00"
1091,"2021-05-30 15:33:08+00:00"
1092,"2021-05-30 15:32:54+00:00"
1093,"2021-05-30 15:33:05+00:00"
1094,"2021-05-30 15:33:09+00:00"
1095,"2021-05-30 15:33:13+00:00"
1096,"2021-05-30 15:33:05+00:00"
1097,"2021-05-30 15:33:07+00:00"
1098,"2021-05-18 21:51:16+00:00"
1099,"2021-05-30 15:33:09+00:00"
1100,"2021-05-30 15:33:05+00:00"
1101,"2021-05-30 15:33:04+00:00"
1102,"2021-05-30 15:33:08+00:00"
1103,"2021-05-30 15:33:06+00:00"
1104,"2021-05-30 15:33:10+00:00"
1105,"2021-05-30 15:33:05+00:00"
1106,"2021-05-14 23:48:14+00:00"
1107,"2021-05-30 15:33:09+00:00"
1108,"2021-05-30 15:33:15+00:00"
1109,"2021-05-30 15:32:57+00:00"
1110,"2021-05-30 15:33:13+00:00"
1111,"2021-05-30 15:33:07+00:00"
1112,"2022-05-30 17:00:37+00:00"
1113,"2023-03-27 17:00:44+00:00"
1114,"2021-05-30 15:33:06+00:00"
1115,"2023-02-01 17:00:35+00:00"
1116,"2021-05-30 15:33:09+00:00"
1117,"2021-05-30 15:33:13+00:00"
1118,"2022-05-30 17:00:37+00:00"
1119,"2022-01-26 17:00:38+00:00"
1120,"2021-05-30 15:33:09+00:00"
1121,"2024-01-13 17:01:00+00:00"
1122,"2023-06-13 17:00:30+00:00"
1123,"2024-03-23 17:00:58+00:00"
1124,"2021-05-30 15:33:06+00:00"
1125,"2021-05-30 15:33:10+00:00"
1126,"2021-05-30 15:33:05+00:00"
1127,"2024-02-23 17:00:40+00:00"
1128,"2021-05-30 15:33:15+00:00"
1129,"2021-05-30 15:33:01+00:00"
1130,"2021-05-15 05:49:19+00:00"
1131,"2024-02-17 17:01:03+00:00"
1132,"2024-03-13 17:01:06+00:00"
1133,"2022-04-01 17:00:41+00:00"
1134,"2021-05-30 15:33:08+00:00"
1135,"2024-08-24 17:00:54+00:00"
1136,"2022-10-02 17:00:41+00:00"
1137,"2023-06-23 17:00:50+00:00"
1138,"2023-06-23 17:00:50+00:00"
1139,"2024-08-27 17:00:50+00:00"
1140,"2024-08-14 17:01:12+00:00"
1141,"2023-10-18 17:00:51+00:00"
1142,"2023-11-14 17:00:57+00:00"
1143,"2023-10-10 17:01:00+00:00"
1144,"2021-11-02 17:00:32+00:00"
1145,"2023-09-21 17:00:54+00:00"
1146,"2023-09-23 17:01:01+00:00"
1147,"2023-06-23 17:00:50+00:00"
1148,"2024-08-27 17:00:50+00:00"
1152,"2023-10-16 17:00:35+00:00"
1153,"2021-10-16 20:00:31+00:00"
1154,"2021-10-07 20:00:32+00:00"
1155,"2021-10-03 20:00:37+00:00"
1161,"2021-10-16 20:00:31+00:00"
1162,"2023-06-23 17:00:50+00:00"
1163,"2021-10-16 20:00:31+00:00"
