pos_id,petal_id,device_loc,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,petal_loc,location
M03092,2,487,70,2021-04-03 23:44:42.021628+00:00,can16,2.92308873896887,2.93277843080777,378.301954222448,104.552573478164,-38.5620042460779,2.60253720489905,390.758812225773,190.603774724193,0.538333333,1.0,763.0,766.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.538333333, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7487
M03095,8,366,59,2021-04-03 23:44:42.016878+00:00,can22,2.75423645328414,2.81899662792259,299.30312470424,131.588930849427,-118.620363648858,-0.0513503673885225,392.719223978259,190.976868792575,0.217333333,1.0,107.0,112.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.21733333300000002, 'CLASSIFIED_AS_RETRACTED': True}",True,False,4,4366
M03099,8,367,61,2021-04-03 23:44:42.016878+00:00,can22,2.90574793434049,3.00549576469695,293.968756763914,140.68930519928,172.252308322922,2.68190896337862,392.052609282551,192.726798340139,0.467333333,1.0,108.0,113.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.46733333299999996, 'CLASSIFIED_AS_RETRACTED': True}",True,False,4,4367
M03104,2,179,71,2021-04-03 23:44:42.021628+00:00,can23,3.14561117473283,3.16008069316662,257.471082803428,23.2353388894612,34.6394775984108,-6.85355488118368,390.903340828596,191.306326243184,0.351666667,1.0,681.0,684.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.35166666700000004}",True,False,7,7179
M03108,2,97,62,2021-04-03 23:44:42.021628+00:00,can13,2.99685129335388,3.0639845222105,158.290748766574,68.6322581489027,-6.15586451835875,-2.62832566541657,388.921255981783,188.798795113122,0.203333333,1.0,726.0,728.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.203333333, 'CLASSIFIED_AS_RETRACTED': True}",True,False,7,7097
M03112,5,114,77,2021-04-03 23:44:42.005009+00:00,can13,3.03650825030027,3.06902620798699,205.278662561194,23.2855167633015,144.589225816264,-2.17688145258813,392.781589047688,190.371538899265,0.795,1.0,122.0,127.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.795, 'CLASSIFIED_AS_RETRACTED': True}",True,False,1,1114
M03118,7,242,76,2021-04-03 23:44:42.030318+00:00,can23,3.00637183297501,3.08639115667727,299.168212327223,23.3252796005248,88.1268131289606,4.33029984976051,391.190236235438,193.478650483898,0.443666667,1.0,126.0,131.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.443666667, 'CLASSIFIED_AS_RETRACTED': True}",True,False,8,8242
M03119,7,209,62,2021-04-03 23:44:42.030318+00:00,can23,3.07167057800603,3.11292853213321,278.283776787744,23.2983521141655,110.691631158849,1.07420954297902,391.259551980354,195.029885901187,0.897,1.0,124.0,129.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.897, 'CLASSIFIED_AS_RETRACTED': True}",True,False,8,8209
M03122,6,360,72,2021-04-03 23:44:42.015915+00:00,can15,3.088224548157,3.04924791787868,330.661235341278,77.4320201103945,100.565804399909,0.0660248787066919,392.364317295289,195.105260567908,0.659,1.0,146.0,151.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.659}",True,False,2,2360
M03126,10,455,69,2021-04-03 23:44:42.168580+00:00,can14,3.12737799844035,3.1446134249976,325.712592554501,158.729728151602,-47.6758221556735,-1.12530611818883,391.54930881082,191.971926049279,0.460333333,1.0,164.0,167.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.46033333299999996, 'CLASSIFIED_AS_RETRACTED': True}",True,False,5,5455
