petal_id,device_loc,pos_id,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,fiber_intact,device_classified_nonfunctional,calib_note,zeno_motor_p,zeno_motor_t,sz_cw_p,sz_ccw_p,sz_cw_t,sz_ccw_t,location,offset_x_cs5,offset_y_cs5
0,370,M06363,43,2024-06-25 21:56:30.791340+00:00,can42,3.00858727809854,3.12620276551971,278.434560863497,167.770744733776,-77.5057402830307,-2.68106233341086,392.324991398247,189.419033625795,1.0,1.0,69.0,69.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3370,278.1917094019298,167.6244145855342
0,401,M06057,35,2024-06-25 21:56:30.791340+00:00,can48,2.96262832631739,3.12993720714076,356.936475648301,68.3799390085066,52.5935513358794,1.91816296490956,394.116307233064,191.079045784325,1.0,1.0,179.0,184.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3401,356.54339358560077,68.3046344955006
0,313,M08038,37,2024-06-25 21:56:30.791340+00:00,can47,3.0128723804826,3.14142773204195,346.373523895826,14.1866304849344,142.036566593703,3.46426461249812,392.852203851918,172.917440321292,1.0,1.0,341.0,347.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3313,346.02837303574324,14.172493931832772
0,58,M01640,43,2024-06-25 21:56:30.791340+00:00,can31,3.0230294897245,3.06353054118135,132.33046116296,41.4164761332746,152.584475727991,-3.030514693386,394.64837902368,190.534300986479,1.0,1.0,103.0,106.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3058,132.31156242780875,41.41056125164823
0,310,M01532,41,2024-06-25 21:56:30.791340+00:00,can38,3.07822281973383,3.0258689177261,252.306950948923,158.823520230064,108.543660263733,-2.58488311410929,393.597315473145,187.782109114742,1.0,1.0,103.0,106.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3310,252.1225631422292,158.70745081367863
0,5,M02213,42,2024-06-25 21:56:30.791340+00:00,can30,2.97724093339829,3.0264739511383,59.4882030995161,5.21431446525822,-73.7690653420954,-5.00703139645066,392.760197083307,190.939236865339,1.0,1.0,241.0,251.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3005,59.48669097545063,5.214181923174631
0,203,M01428,45,2024-06-25 21:56:30.791340+00:00,can38,3.00196937307651,3.02786388128602,220.865408792342,104.618619432486,-28.7164698717794,0.632845424374242,391.223029569757,190.012980923258,1.0,1.0,97.0,99.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3203,220.75824169748574,104.56785696328016
0,463,M06405,41,2024-06-25 21:56:30.791340+00:00,can48,2.98710293073232,3.09218420513882,399.367219014417,50.3699259046583,128.608032689124,-0.0394397556420875,390.538729438954,191.0242453617,1.0,1.0,273.0,289.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3463,398.8145869574963,50.30022555261556
0,60,M02045,45,2024-06-25 21:56:30.791340+00:00,can32,3.0418497887102,3.08279373804539,121.861671329034,59.5868332581513,29.3252881255118,0.408912913444158,393.36706659777,189.178954689691,1.0,1.0,98.0,100.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3060,121.84507623611829,59.57871873761596
0,27,M02075,41,2024-06-25 21:56:30.791340+00:00,can31,3.05983242361239,3.04124656985914,106.363225124031,14.2073814430946,-16.5408888154913,-1.80695889987223,393.209353393133,189.911124078651,1.0,1.0,96.0,98.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,lbl,True,False,,,,,,,,3027,106.354435574154,14.20620738610573
