busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can13,1689,"[0, 0, 1275, 10121, -10121]","[0, 0, 1591, -10121, 10121]","[0, 0.0, 0.1767777777777778, 1.1245555555555555, 1.1245555555555555]",5,M01689,"[2430, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.855555555555556,False
can23,4164,"[-381, 10121, -10121]","[519, -10121, 10121]","[0.05766666666666667, 1.1245555555555555, 1.1245555555555555]",3,M04164,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.3067777777777776,False
can12,3768,"[-9665, 10121, -10121]","[5712, -10121, 10121]","[1.073888888888889, 1.1245555555555555, 1.1245555555555555]",3,M03768,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",3.3229999999999995,False
can12,2594,"[1099, 10121, -10121]","[-3914, -10121, 10121]","[0.43488888888888894, 1.1245555555555555, 1.1245555555555555]",3,M02594,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.684,False
can12,1020,"[-4225, 10121, -10121]","[1264, -10121, 10121]","[0.46944444444444444, 1.1245555555555555, 1.1245555555555555]",3,M01020,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.7185555555555556,False
can12,2345,"[0, 0, 359, 10121, -10121]","[0, 0, -1136, -10121, 10121]","[0, 0.0, 0.12622222222222224, 1.1245555555555555, 1.1245555555555555]",5,M02345,"[2715, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.090777777777777,False
can12,4503,"[2921, 10121, -10121]","[-3938, -10121, 10121]","[0.4375555555555556, 1.1245555555555555, 1.1245555555555555]",3,M04503,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.6866666666666665,False
can13,2370,"[-232, 10121, -10121]","[1875, -10121, 10121]","[0.20833333333333334, 1.1245555555555555, 1.1245555555555555]",3,M02370,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4574444444444445,False
can13,2568,"[0, 0, -644, 10121, -10121]","[0, 0, 632, -10121, 10121]","[0, 0.0, 0.07155555555555557, 1.1245555555555555, 1.1245555555555555]",5,M02568,"[2770, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.0905555555555555,False
can23,3597,"[2251, 10121, -10121]","[-1611, -10121, 10121]","[0.2501111111111111, 1.1245555555555555, 1.1245555555555555]",3,M03597,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.4992222222222225,False
can23,2971,"[0, 0, 1861, 10121, -10121]","[0, 0, -1906, -10121, 10121]","[0, 0.0, 0.21177777777777781, 1.1245555555555555, 1.1245555555555555]",5,M02971,"[2464, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.925333333333333,False
can12,2483,"[-5301, 10121, -10121]","[1185, -10121, 10121]","[0.5890000000000001, 1.1245555555555555, 1.1245555555555555]",3,M02483,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.838111111111111,False
can12,2336,"[0, 0, 1195, 10121, -10121]","[0, 0, -2053, -10121, 10121]","[0, 0.0, 0.22811111111111113, 1.1245555555555555, 1.1245555555555555]",5,M02336,"[2611, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.087888888888889,False
can12,4090,"[2415, 10121, -10121]","[1196, -10121, 10121]","[0.2683333333333333, 1.1245555555555555, 1.1245555555555555]",3,M04090,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.517444444444444,False
can12,2455,"[0, 0, -2419, 10121, -10121]","[0, 0, 2079, -10121, 10121]","[0, 0.0, 0.2687777777777778, 1.1245555555555555, 1.1245555555555555]",5,M02455,"[2552, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.0698888888888884,False
can12,2589,"[0, 0, -1809, 10121, -10121]","[0, 0, -852, -10121, 10121]","[0, 0.0, 0.201, 1.1245555555555555, 1.1245555555555555]",5,M02589,"[2640, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.09,False
can12,4510,"[0, 0, 1005, 10121, -10121]","[0, 0, -191, -10121, 10121]","[0, 0.0, 0.11166666666666666, 1.1245555555555555, 1.1245555555555555]",5,M04510,"[2713, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.074,False
can12,4240,"[0, 0, -1076, 10121, -10121]","[0, 0, -324, -10121, 10121]","[0, 0.0, 0.11955555555555557, 1.1245555555555555, 1.1245555555555555]",5,M04240,"[2720, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.088555555555556,False
can12,4500,"[0, 0, -1274, 10121, -10121]","[0, 0, 734, -10121, 10121]","[0, 0.0, 0.14155555555555557, 1.1245555555555555, 1.1245555555555555]",5,M04500,"[2699, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089444444444444,False
can13,2497,"[-2594, 10121, -10121]","[3556, -10121, 10121]","[0.39511111111111114, 1.1245555555555555, 1.1245555555555555]",3,M02497,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.644222222222222,False
can13,2312,"[0, 0, 2238, 10121, -10121]","[0, 0, -424, -10121, 10121]","[0, 0.0, 0.24866666666666667, 1.1245555555555555, 1.1245555555555555]",5,M02312,"[2499, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.997,False
can23,2714,"[-3483, 10121, -10121]","[4395, -10121, 10121]","[0.48833333333333334, 1.1245555555555555, 1.1245555555555555]",3,M02714,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.7374444444444443,False
can23,3316,"[2986, 10121, -10121]","[315, -10121, 10121]","[0.3317777777777778, 1.1245555555555555, 1.1245555555555555]",3,M03316,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5808888888888886,False
can23,4162,"[0, 0, 1291, 10121, -10121]","[0, 0, 927, -10121, 10121]","[0, 0.0, 0.14344444444444443, 1.1245555555555555, 1.1245555555555555]",5,M04162,"[2395, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.7876666666666665,False
can23,3280,"[738, 10121, -10121]","[-1625, -10121, 10121]","[0.18055555555555555, 1.1245555555555555, 1.1245555555555555]",3,M03280,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.429666666666667,False
can12,5294,"[0, 0, -1284, 10121, -10121]","[0, 0, -788, -10121, 10121]","[0, 0.0, 0.14266666666666666, 1.1245555555555555, 1.1245555555555555]",5,M05294,"[2699, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.0905555555555555,False
can12,2632,"[0, 0, -1038, 10121, -10121]","[0, 0, 711, -10121, 10121]","[0, 0.0, 0.11533333333333334, 1.1245555555555555, 1.1245555555555555]",5,M02632,"[2719, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.083,False
can12,2272,"[5910, 10121, -10121]","[-1493, -10121, 10121]","[0.6566666666666666, 1.1245555555555555, 1.1245555555555555]",3,M02272,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.905777777777778,False
can12,2912,"[-2003, 10121, -10121]","[2375, -10121, 10121]","[0.2638888888888889, 1.1245555555555555, 1.1245555555555555]",3,M02912,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.513,False
can12,4362,"[0, 0, -2215, 10121, -10121]","[0, 0, -75, -10121, 10121]","[0, 0.0, 0.2461111111111111, 1.1245555555555555, 1.1245555555555555]",5,M04362,"[2587, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.082,False
can12,1713,"[-1583, 10121, -10121]","[-2994, -10121, 10121]","[0.3326666666666667, 1.1245555555555555, 1.1245555555555555]",3,M01713,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.581777777777778,False
can13,2864,"[785, 10121, -10121]","[-2732, -10121, 10121]","[0.3035555555555555, 1.1245555555555555, 1.1245555555555555]",3,M02864,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5526666666666666,False
can13,1710,"[0, 0, 2495, 10121, -10121]","[0, 0, -1139, -10121, 10121]","[0, 0.0, 0.2772222222222222, 1.1245555555555555, 1.1245555555555555]",5,M01710,"[2558, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.084,False
can23,4018,"[0, 0, 758, 10121, -10121]","[0, 0, 1804, -10121, 10121]","[0, 0.0, 0.20044444444444445, 1.1245555555555555, 1.1245555555555555]",5,M04018,"[2639, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089,False
can23,3138,"[-944, 10121, -10121]","[9, -10121, 10121]","[0.10488888888888889, 1.1245555555555555, 1.1245555555555555]",3,M03138,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.354,False
can23,2646,"[-3358, 10121, -10121]","[2644, -10121, 10121]","[0.3731111111111111, 1.1245555555555555, 1.1245555555555555]",3,M02646,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.6222222222222222,False
can23,3590,"[-120, 10121, -10121]","[-2227, -10121, 10121]","[0.24744444444444447, 1.1245555555555555, 1.1245555555555555]",3,M03590,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.496555555555555,False
can23,4293,"[0, 0, -1205, 10121, -10121]","[0, 0, 2239, -10121, 10121]","[0, 0.0, 0.2487777777777778, 1.1245555555555555, 1.1245555555555555]",5,M04293,"[2592, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089888888888888,False
can23,3788,"[0, 0, 581, 10121, -10121]","[0, 0, 680, -10121, 10121]","[0, 0.0, 0.07555555555555556, 1.1245555555555555, 1.1245555555555555]",5,M03788,"[2765, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089444444444444,False
can12,2850,"[1355, 10121, -10121]","[-3289, -10121, 10121]","[0.36544444444444446, 1.1245555555555555, 1.1245555555555555]",3,M02850,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.6145555555555555,False
can12,3977,"[1325, 10121, -10121]","[-3668, -10121, 10121]","[0.40755555555555556, 1.1245555555555555, 1.1245555555555555]",3,M03977,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.6566666666666663,False
can12,4364,"[-2726, 10121, -10121]","[1158, -10121, 10121]","[0.30288888888888893, 1.1245555555555555, 1.1245555555555555]",3,M04364,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.552,False
can12,2897,"[-2757, 10121, -10121]","[1084, -10121, 10121]","[0.30633333333333335, 1.1245555555555555, 1.1245555555555555]",3,M02897,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5554444444444444,False
can23,3761,"[0, 0, -1573, 10121, -10121]","[0, 0, 275, -10121, 10121]","[0, 0.0, 0.17477777777777778, 1.1245555555555555, 1.1245555555555555]",5,M03761,"[2425, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.848777777777777,False
can23,3797,"[741, 10121, -10121]","[-2801, -10121, 10121]","[0.31122222222222223, 1.1245555555555555, 1.1245555555555555]",3,M03797,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5603333333333333,False
can23,3763,"[0, 0, 39, 10121, -10121]","[0, 0, 470, -10121, 10121]","[0, 0.0, 0.052222222222222225, 1.1245555555555555, 1.1245555555555555]",5,M03763,"[2307, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.608111111111111,False
