pos_id,petal_id,device_loc,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,zeno_motor_p,sz_cw_p,sz_ccw_p,zeno_motor_t,sz_cw_t,sz_ccw_t
M05899,4,8,53,2023-05-03 17:30:00.105000+00:00,can30,3.0811,3.0536,69.8686,5.242,7.64015448885468,-3.17337642469736,392.711324075538,188.258772728594,1.0,1.0,166.0,166.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05900,4,5,53,2023-05-03 17:30:00.105000+00:00,can30,3.067,3.0913,59.4382,5.2296,54.7388135423057,0.0561032966783447,394.495051042002,190.645386653932,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05917,4,12,53,2023-05-03 17:30:00.105000+00:00,can30,3.1135,2.9992,80.2791,5.2171,166.028779585196,-0.767059384999996,390.466370066007,192.599328472261,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05974,4,16,53,2023-05-03 17:30:00.105000+00:00,can30,3.0258,3.1062,90.703,5.2517,-83.7393219524871,3.97280850360961,394.012070844554,195.200405300149,1.0,1.0,116.0,116.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M06011,4,30,55,2023-05-03 17:30:00.105000+00:00,can30,3.0179,3.0756,90.6337,41.4188,-143.492614197488,-3.40932163443052,391.983111307764,187.700512770368,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M06140,4,4,59,2023-05-03 17:30:00.105000+00:00,can30,3.0126,3.0471,43.8279,14.2959,-69.210344064996,-0.439266736723006,393.403804601215,186.297032171341,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M06173,4,31,53,2023-05-03 17:30:00.105000+00:00,can30,3.0435,3.0581,85.3834,50.4384,171.717181166388,-0.658218177568079,392.882384553084,191.411646477032,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03365,4,442,57,2023-05-03 17:30:00.105000+00:00,can48,2.9736,3.0703,394.0218,41.3674,-103.055299486165,0.550525217826613,392.802277899449,189.127883351595,1.0,1.0,246.0,249.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03547,4,484,55,2023-05-03 17:30:00.105000+00:00,can48,2.9887,3.0473,394.1063,77.5184,-141.928908485458,2.23996238004748,392.490250150915,190.322357013411,1.0,1.0,176.0,178.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03641,4,424,66,2023-05-03 17:30:00.105000+00:00,can48,2.8645,3.1099,362.2542,77.4658,-40.6786575573276,1.73413695446715,393.394221049914,190.213353551472,1.0,1.0,199.0,199.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
M03666,4,400,53,2023-05-03 17:30:00.105000+00:00,can48,2.981,3.0398,362.1978,59.4049,-114.749962320849,0.504343967368859,393.33943008416,187.464438221151,1.0,1.0,199.0,199.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04543,4,401,53,2023-05-03 17:30:00.105000+00:00,can48,2.8218,3.0484,356.9344,68.4468,-48.7701824036,12.4514922387134,390.703742766311,194.495957279033,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04660,4,483,53,2023-05-03 17:30:00.105000+00:00,can48,3.0253,3.087,399.4464,68.535,145.799205828182,1.23424521726167,393.812595774527,190.862078905344,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04666,4,378,55,2023-05-03 17:30:00.105000+00:00,can48,2.993,3.0241,356.8871,50.4042,-179.405581044118,1.22601306445278,391.029139969605,190.707027094073,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04682,4,421,53,2023-05-03 17:30:00.105000+00:00,can48,2.9818,3.0573,378.0397,50.4011,-32.0579773927915,-0.0524441537958456,390.799358284507,191.357400349773,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04684,4,356,53,2023-05-03 17:30:00.105000+00:00,can48,3.0294,3.1212,351.6371,41.3886,72.8539802107315,1.30691344447547,393.110709781245,191.482292133151,1.0,1.0,164.0,164.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04934,4,422,53,2023-05-03 17:30:00.105000+00:00,can48,2.9977,3.1123,372.778,59.4426,40.529088854215,1.53564352952167,393.778174621742,190.544005472966,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04969,4,462,53,2023-05-03 17:30:00.105000+00:00,can48,3.0163,3.0488,404.6825,41.4105,-88.7007379726746,1.07520407047441,391.376257646401,190.432377492176,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05189,4,379,55,2023-05-03 17:30:00.105000+00:00,can48,2.969,3.0772,351.6105,59.4064,-55.6777205852483,-0.282632977829216,391.52063968917,189.389492068989,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05195,4,377,55,2023-05-03 17:30:00.105000+00:00,can48,3.0,3.0306,362.1827,41.3838,93.7711601566685,-0.922323663350384,393.532270809713,189.302074247771,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05197,4,443,53,2023-05-03 17:30:00.105000+00:00,can48,2.9987,3.0555,388.7095,50.4067,-125.146631093513,1.41972721101963,392.94858392512,192.722494762853,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05224,4,399,61,2023-05-03 17:30:00.105000+00:00,can48,2.9857,3.0552,367.4959,50.4092,-42.8298248473213,2.35060730656867,390.589039655642,197.035487823628,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05225,4,463,55,2023-05-03 17:30:00.105000+00:00,can48,2.9911,3.0321,399.3147,50.4499,30.7411780492047,0.990312296356203,392.693524458228,195.238531882851,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05537,4,464,53,2023-05-03 17:30:00.105000+00:00,can48,2.9609,3.0658,394.068,59.4353,-111.991882508031,0.874096859052044,393.761544994953,187.882497760792,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04515,4,78,68,2023-05-03 17:30:00.105000+00:00,can32,3.0049,3.0251,137.4072,68.6741,-78.7020448916093,3.31205954260778,392.449420904672,189.430730619182,1.0,1.0,149.0,148.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
M04560,4,69,53,2023-05-03 17:30:00.105000+00:00,can32,2.9799,3.0709,126.9839,68.6136,-54.7589569862989,0.829427095060601,393.934538775532,189.351776847491,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04746,4,61,57,2023-05-03 17:30:00.105000+00:00,can32,2.8863,3.1012,116.5638,68.6624,126.43739066493,-4.89355750135017,390.767723015754,193.818879822676,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04929,4,53,61,2023-05-03 17:30:00.105000+00:00,can32,3.0041,3.0876,106.155,68.6256,86.80355507518,-0.926942364699625,392.952569765015,190.020497343074,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05868,4,60,55,2023-05-03 17:30:00.105000+00:00,can32,3.0387,3.0957,121.7887,59.5936,15.9926750950305,2.4452031321696,392.3128669592,190.551040894838,1.0,1.0,111.0,111.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05871,4,37,60,2023-05-03 17:30:00.105000+00:00,can32,3.0678,3.0807,95.8099,50.4356,90.7229717083001,0.892828075425112,392.658021464671,188.62516895511,1.0,1.0,112.0,112.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05872,4,77,42,2023-05-03 17:30:00.105000+00:00,can32,3.0407,3.0189,142.621,59.6354,-173.280719470539,2.67243872448053,393.043048189705,191.661178023725,1.0,1.0,111.0,111.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05883,4,89,53,2023-05-03 17:30:00.105000+00:00,can32,3.0534,3.0649,137.4373,86.7227,138.94242520199,-1.62768969568367,391.912513350721,190.242983702135,1.0,1.0,164.0,164.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05904,4,36,53,2023-05-03 17:30:00.105000+00:00,can32,3.2231,3.0191,101.0498,41.3579,80.7267956061096,3.83392191435561,393.579256296694,194.05769622924,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05906,4,76,55,2023-05-03 17:30:00.105000+00:00,can32,2.9904,3.0849,147.8826,50.519,68.6783303313977,0.28863365895295,395.445997451523,188.748108573669,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05908,4,67,55,2023-05-03 17:30:00.105000+00:00,can32,2.9328,3.0978,137.4447,50.4928,23.0873504636025,1.38790725723451,391.140925269149,185.179702915285,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05914,4,59,91,2023-05-03 17:30:00.105000+00:00,can32,2.9904,3.1096,127.03,50.4927,7.57201511298123,-0.510933814013043,393.709115049439,192.728013291982,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
